time,hmd rotation
12:10:54:317,-0.0006972894
12:10:54:350,0.0008116248
12:10:54:361,-0.0006014327
12:10:54:392,-0.0005598604
12:10:54:399,-0.00129379
12:10:54:414,-0.001429387
12:10:54:422,-0.001355801
12:10:54:431,-0.001867207
12:10:54:438,-0.001626387
12:10:54:452,-0.001347496
12:10:54:458,-0.0008381121
12:10:54:472,-0.001494266
12:10:54:484,-0.000951589
12:10:54:491,-0.0007694731
12:10:54:499,-0.000105292
12:10:54:510,0.0005663334
12:10:54:519,0.0001711428
12:10:54:546,-0.001154796
12:10:54:555,-0.0007307976
12:10:54:564,-0.0004269575
12:10:54:574,-0.001281335
12:10:54:583,-0.000865355
12:10:54:609,-0.001230375
12:10:54:619,-0.002165865
12:10:54:627,-0.002236674
12:10:54:638,-0.002362015
12:10:54:646,-0.003203082
12:10:54:654,-0.002643803
12:10:54:664,-0.002673404
12:10:54:672,-0.002963486
12:10:54:679,-0.002820546
12:10:54:700,-0.002195148
12:10:54:710,-0.00227493
12:10:54:718,-0.002544881
12:10:54:730,-0.001845359
12:10:54:739,-0.002017996
12:10:54:747,-0.001384353
12:10:54:755,-0.001822058
12:10:54:763,-0.002424055
12:10:54:770,-0.002561343
12:10:54:778,-0.002317591
12:10:54:791,-0.003136258
12:10:54:798,-0.001631267
12:10:54:806,-0.002018768
12:10:54:815,-0.0008327259
12:10:54:823,-6.013E-05
12:10:54:834,-0.0008204054
12:10:54:842,0.0004828375
12:10:54:853,0.0002969212
12:10:54:861,0.0008799469
12:10:54:871,0.000510427
12:10:54:879,-0.0002321794
12:10:54:889,-0.000168902
12:10:54:899,-0.0002675493
12:10:54:907,0.0001199078
12:10:54:915,-0.0001049787
12:10:54:924,0.0004266337
12:10:54:934,-0.0005239419
12:10:54:943,-0.00025333
12:10:54:953,-0.0003539049
12:10:54:961,-0.0003310191
12:10:54:968,-0.0008355626
12:10:54:976,-0.0009111558
12:10:54:983,-0.001418541
12:10:54:994,-0.001079035
12:10:55:002,-0.0009813432
12:10:55:010,-0.0006406169
12:10:55:018,-0.0004423988
12:10:55:026,-0.0002897932
12:10:55:034,-0.001166388
12:10:55:042,-0.0009245335
12:10:55:053,-0.002313396
12:10:55:062,-0.002731223
12:10:55:071,-0.003116237
12:10:55:079,-0.002304887
12:10:55:087,-0.003475737
12:10:55:095,-0.002095329
12:10:55:104,-0.0009354939
12:10:55:115,-0.0007504026
12:10:55:126,-0.001617124
12:10:55:134,-0.001111228
12:10:55:142,-0.001637521
12:10:55:150,-0.001206013
12:10:55:159,-0.001509623
12:10:55:168,7.461633E-05
12:10:55:179,0.0009014189
12:10:55:186,0.002067496
12:10:55:195,0.00135881
12:10:55:203,0.001591954
12:10:55:212,0.0006958578
12:10:55:220,-0.0002826543
12:10:55:229,-0.0009876878
12:10:55:240,-0.001748907
12:10:55:252,-0.002115281
12:10:55:261,-0.002016191
12:10:55:269,-0.0009776679
12:10:55:280,-0.0008095833
12:10:55:287,0.000301717
12:10:55:303,0.0007713874
12:10:55:312,-0.0001697504
12:10:55:323,-0.0003299489
12:10:55:331,-0.0004654983
12:10:55:339,0.0003611686
12:10:55:347,-0.0004492438
12:10:55:355,0.0003159488
12:10:55:363,3.585097E-05
12:10:55:371,0.00154757
12:10:55:381,0.002458352
12:10:55:388,0.003000895
12:10:55:398,0.003901339
12:10:55:406,0.003598483
12:10:55:414,0.003834877
12:10:55:422,0.004533981
12:10:55:430,0.00393485
12:10:55:441,0.005328382
12:10:55:450,0.005873686
12:10:55:460,0.007203495
12:10:55:469,0.00725793
12:10:55:479,0.007756769
12:10:55:489,0.008198308
12:10:55:497,0.007174935
12:10:55:510,0.006829489
12:10:55:519,0.0055446
12:10:55:529,0.004171038
12:10:55:538,0.003747459
12:10:55:546,0.003305225
12:10:55:558,0.002952217
12:10:55:570,0.002649005
12:10:55:578,0.002324577
12:10:55:587,0.00297447
12:10:55:597,0.002466741
12:10:55:606,0.00246819
12:10:55:616,0.002739865
12:10:55:628,0.00243225
12:10:55:637,0.00243596
12:10:55:646,0.002347114
12:10:55:655,0.001654241
12:10:55:663,0.0009005329
12:10:55:672,0.0006852341
12:10:55:680,0.001433485
12:10:55:691,0.0005575437
12:10:55:700,0.001179301
12:10:55:708,0.001819271
12:10:55:718,0.002858103
12:10:55:726,0.002566476
12:10:55:736,0.002002152
12:10:55:745,0.002292091
12:10:55:758,0.002481112
12:10:55:768,0.003167946
12:10:55:779,0.00310828
12:10:55:787,0.004446608
12:10:55:796,0.004441415
12:10:55:805,0.003764011
12:10:55:815,0.004718001
12:10:55:823,0.004099844
12:10:55:830,0.004062044
12:10:55:841,0.004342279
12:10:55:848,0.00415044
12:10:55:855,0.00340237
12:10:55:863,0.004422537
12:10:55:873,0.004522979
12:10:55:880,0.00399336
12:10:55:889,0.003130817
12:10:55:896,0.002811275
12:10:55:908,0.003531144
12:10:55:918,0.003453887
12:10:55:928,0.00277909
12:10:55:935,0.002171051
12:10:55:943,0.002617698
12:10:55:952,0.001845394
12:10:55:960,0.002048588
12:10:55:969,0.001650253
12:10:55:978,0.001655872
12:10:55:987,0.001737006
12:10:55:997,0.002561984
12:10:56:006,0.002607636
12:10:56:014,0.002412884
12:10:56:022,0.002758513
12:10:56:031,0.002988393
12:10:56:040,0.003013555
12:10:56:047,0.003109735
12:10:56:057,0.004508945
12:10:56:066,0.00573163
12:10:56:074,0.005107244
12:10:56:084,0.004842011
12:10:56:092,0.005736176
12:10:56:102,0.006028055
12:10:56:112,0.006964081
12:10:56:122,0.007833676
12:10:56:130,0.008142293
12:10:56:138,0.008018626
12:10:56:147,0.007496113
12:10:56:155,0.005473178
12:10:56:163,0.00750436
12:10:56:174,0.005674666
12:10:56:184,0.003896283
12:10:56:193,0.005542631
12:10:56:202,0.0007010745
12:10:56:211,0.001050312
12:10:56:220,0.0007704947
12:10:56:228,-0.0009180537
12:10:56:237,0.00101318
12:10:56:246,-0.0009434748
12:10:56:254,-0.0004072366
12:10:56:263,-0.0004803079
12:10:56:270,-0.002794963
12:10:56:278,-0.002792803
12:10:56:286,-0.003357401
12:10:56:297,-0.00449315
12:10:56:306,-0.004414028
12:10:56:313,-0.005675555
12:10:56:322,-0.00592041
12:10:56:331,-0.006622314
12:10:56:339,-0.005701989
12:10:56:347,-0.006195068
12:10:56:357,-0.006774902
12:10:56:366,-0.00668335
12:10:56:373,-0.007171631
12:10:56:382,-0.007263184
12:10:56:390,-0.007446289
12:10:56:399,-0.007263184
12:10:56:407,-0.007507324
12:10:56:417,-0.007904053
12:10:56:425,-0.007232666
12:10:56:435,-0.00692749
12:10:56:443,-0.007720947
12:10:56:452,-0.007324219
12:10:56:461,-0.007446289
12:10:56:470,-0.007568359
12:10:56:479,-0.008026123
12:10:56:488,-0.008575439
12:10:56:496,-0.00793457
12:10:56:505,-0.009216309
12:10:56:513,-0.00881958
12:10:56:521,-0.009460449
12:10:56:533,-0.00881958
12:10:56:540,-0.009124756
12:10:56:550,-0.008056641
12:10:56:560,-0.007385254
12:10:56:569,-0.008087158
12:10:56:577,-0.007904053
12:10:56:586,-0.008453369
12:10:56:593,-0.007995605
12:10:56:602,-0.008300781
12:10:56:612,-0.008758545
12:10:56:621,-0.00881958
12:10:56:629,-0.008666992
12:10:56:637,-0.008636475
12:10:56:647,-0.008605957
12:10:56:654,-0.008270264
12:10:56:662,-0.008270264
12:10:56:671,-0.009155273
12:10:56:680,-0.009246826
12:10:56:688,-0.01113892
12:10:56:697,-0.01052856
12:10:56:705,-0.01077271
12:10:56:713,-0.0100708
12:10:56:720,-0.01013184
12:10:56:729,-0.01211548
12:10:56:737,-0.01187134
12:10:56:746,-0.01211548
12:10:56:755,-0.01199341
12:10:56:762,-0.01193237
12:10:56:771,-0.01226807
12:10:56:781,-0.01150513
12:10:56:790,-0.01135254
12:10:56:797,-0.01132202
12:10:56:805,-0.01177979
12:10:56:814,-0.01235962
12:10:56:823,-0.01260376
12:10:56:831,-0.01379395
12:10:56:840,-0.01364136
12:10:56:849,-0.01437378
12:10:56:857,-0.01400757
12:10:56:866,-0.01416016
12:10:56:875,-0.01376343
12:10:56:883,-0.01434326
12:10:56:892,-0.01321411
12:10:56:900,-0.01324463
12:10:56:911,-0.01455688
12:10:56:920,-0.01437378
12:10:56:928,-0.01513672
12:10:56:936,-0.01452637
12:10:56:945,-0.01544189
12:10:56:955,-0.01547241
12:10:56:962,-0.0151062
12:10:56:972,-0.01422119
12:10:56:982,-0.01422119
12:10:56:990,-0.01483154
12:10:57:000,-0.01446533
12:10:57:008,-0.01519775
12:10:57:017,-0.0163269
12:10:57:026,-0.01651001
12:10:57:036,-0.01721191
12:10:57:043,-0.01824951
12:10:57:051,-0.01846313
12:10:57:058,-0.01831055
12:10:57:067,-0.01727295
12:10:57:075,-0.01644897
12:10:57:083,-0.01693726
12:10:57:093,-0.01678467
12:10:57:102,-0.01705933
12:10:57:111,-0.01782227
12:10:57:118,-0.01751709
12:10:57:127,-0.01763916
12:10:57:135,-0.0178833
12:10:57:143,-0.01724243
12:10:57:153,-0.01715088
12:10:57:162,-0.0173645
12:10:57:171,-0.01669312
12:10:57:179,-0.01641846
12:10:57:191,-0.01687622
12:10:57:198,-0.0168457
12:10:57:207,-0.0168457
12:10:57:215,-0.01635742
12:10:57:222,-0.01760864
12:10:57:232,-0.01754761
12:10:57:239,-0.01934814
12:10:57:249,-0.01956177
12:10:57:257,-0.01940918
12:10:57:265,-0.02056885
12:10:57:275,-0.02075195
12:10:57:283,-0.01980591
12:10:57:293,-0.01959229
12:10:57:300,-0.01901245
12:10:57:309,-0.01852417
12:10:57:316,-0.01959229
12:10:57:325,-0.02105713
12:10:57:333,-0.02243042
12:10:57:342,-0.02185059
12:10:57:353,-0.0227356
12:10:57:361,-0.02270508
12:10:57:371,-0.02178955
12:10:57:378,-0.02154541
12:10:57:390,-0.0211792
12:10:57:398,-0.02053833
12:10:57:407,-0.021698
12:10:57:414,-0.02215576
12:10:57:422,-0.0218811
12:10:57:432,-0.02209473
12:10:57:440,-0.02255249
12:10:57:452,-0.02252197
12:10:57:460,-0.02279663
12:10:57:468,-0.02249146
12:10:57:476,-0.02236938
12:10:57:484,-0.02282715
12:10:57:491,-0.02212524
12:10:57:500,-0.02285767
12:10:57:512,-0.02389526
12:10:57:520,-0.02386475
12:10:57:527,-0.02359009
12:10:57:535,-0.02444458
12:10:57:544,-0.0249939
12:10:57:551,-0.02410889
12:10:57:563,-0.02374268
12:10:57:571,-0.02267456
12:10:57:580,-0.02120972
12:10:57:587,-0.02084351
12:10:57:595,-0.02154541
12:10:57:603,-0.0213623
12:10:57:611,-0.02279663
12:10:57:620,-0.0241394
12:10:57:630,-0.02468872
12:10:57:639,-0.02578735
12:10:57:647,-0.02618408
12:10:57:655,-0.02716064
12:10:57:662,-0.02716064
12:10:57:671,-0.02612305
12:10:57:680,-0.0267334
12:10:57:688,-0.02539063
12:10:57:694,-0.02542114
12:10:57:702,-0.0244751
12:10:57:710,-0.02575684
12:10:57:718,-0.02624512
12:10:57:725,-0.02746582
12:10:57:737,-0.02853394
12:10:57:746,-0.02825928
12:10:57:756,-0.02816772
12:10:57:765,-0.0269165
12:10:57:775,-0.02804565
12:10:57:782,-0.02737427
12:10:57:791,-0.02853394
12:10:57:798,-0.02938843
12:10:57:806,-0.02816772
12:10:57:815,-0.02935791
12:10:57:824,-0.02993774
12:10:57:832,-0.03103638
12:10:57:839,-0.03067017
12:10:57:847,-0.03106689
12:10:57:856,-0.03128052
12:10:57:864,-0.03112793
12:10:57:872,-0.03051758
12:10:57:883,-0.02981567
12:10:57:889,-0.02999878
12:10:57:898,-0.02954102
12:10:57:907,-0.03005981
12:10:57:916,-0.03005981
12:10:57:924,-0.03030396
12:10:57:936,-0.02960205
12:10:57:944,-0.02935791
12:10:57:952,-0.03027344
12:10:57:961,-0.03045654
12:10:57:969,-0.03036499
12:10:57:977,-0.02987671
12:10:57:984,-0.03039551
12:10:57:996,-0.03115845
12:10:58:005,-0.03121948
12:10:58:012,-0.03039551
12:10:58:021,-0.02963257
12:10:58:028,-0.02981567
12:10:58:037,-0.0291748
