time,hmd rotation
11:21:01:675,0.5977759
11:21:01:682,0.5984858
11:21:01:691,0.5989156
11:21:01:698,0.5996562
11:21:01:707,0.6007332
11:21:01:714,0.6006562
11:21:01:725,0.6021494
11:21:01:737,0.603091
11:21:01:746,0.6038788
11:21:01:756,0.6047912
11:21:01:766,0.6053987
11:21:01:775,0.6063023
11:21:01:792,0.6077783
11:21:01:822,0.6185427
11:21:01:832,0.6223205
11:21:01:845,0.6274934
11:21:01:854,0.6315861
11:21:01:863,0.6342986
11:21:01:869,0.6362174
11:21:01:900,0.6465175
11:21:02:040,0.6780261
11:21:02:076,0.6768752
11:21:02:087,0.6780307
11:21:02:098,0.6786316
11:21:02:106,0.6796255
11:21:02:113,0.6800674
11:21:02:140,0.6793373
11:21:02:148,0.6789046
11:21:02:157,0.6785768
11:21:02:165,0.6785859
11:21:02:172,0.6778843
11:21:02:183,0.6780597
11:21:02:190,0.6778516
11:21:02:199,0.6774274
11:21:02:207,0.6770976
11:21:02:218,0.6771617
11:21:02:226,0.677191
11:21:02:234,0.6774234
11:21:02:245,0.6767548
11:21:02:253,0.6768164
11:21:02:260,0.6778262
11:21:02:268,0.6775369
11:21:02:277,0.6776794
11:21:02:285,0.6778682
11:21:02:296,0.6783961
11:21:02:304,0.6784157
11:21:02:311,0.6783338
11:21:02:320,0.6783746
11:21:02:328,0.6790255
11:21:02:336,0.6785905
11:21:02:346,0.6791239
11:21:02:355,0.6780967
11:21:02:365,0.6789091
11:21:02:373,0.6787554
11:21:02:381,0.679616
11:21:02:388,0.6797177
11:21:02:398,0.6808566
11:21:02:405,0.6815833
11:21:02:413,0.6811603
11:21:02:423,0.6821831
11:21:02:431,0.6819726
11:21:02:439,0.6825215
11:21:02:448,0.6830702
11:21:02:457,0.6833971
11:21:02:465,0.6830449
11:21:02:472,0.6853378
11:21:02:502,0.6870695
11:21:02:511,0.6869828
11:21:02:520,0.6870567
11:21:02:530,0.6882028
11:21:02:539,0.6888611
11:21:02:547,0.6894286
11:21:02:554,0.6905037
11:21:02:563,0.6922275
11:21:02:569,0.6924023
11:21:02:579,0.6933846
11:21:02:587,0.6945411
11:21:02:595,0.696045
11:21:02:605,0.6973723
11:21:02:613,0.6984965
11:21:02:623,0.7011898
11:21:02:631,0.7030762
11:21:02:641,0.7057471
11:21:02:648,0.7077466
11:21:02:661,0.7091739
11:21:02:668,0.7094015
11:21:02:683,0.7101597
11:21:02:691,0.7089913
11:21:02:699,0.7088563
11:21:02:706,0.7090038
11:21:02:715,0.7086783
11:21:02:724,0.7087356
11:21:02:733,0.7087921
11:21:02:745,0.7087469
11:21:02:752,0.7081649
11:21:02:762,0.7080352
11:21:02:770,0.707974
11:21:02:778,0.7074259
11:21:02:786,0.708571
11:21:02:794,0.7098554
11:21:02:805,0.710581
11:21:02:813,0.7109287
11:21:02:820,0.7122167
11:21:02:827,0.7129329
11:21:02:835,0.7126939
11:21:02:844,0.712658
11:21:02:854,0.7122982
11:21:02:864,0.7110563
11:21:02:872,0.7109007
11:21:02:880,0.7111556
11:21:02:888,0.7105548
11:21:02:896,0.7109252
11:21:02:904,0.7112743
11:21:02:911,0.7124536
11:21:02:923,0.7131362
11:21:02:931,0.7130846
