time,hmd rotation
14:49:51:982,-0.00546498
14:49:51:989,-0.00592041
14:49:51:996,-0.006225586
14:49:52:004,-0.005188877
14:49:52:011,-0.005007751
14:49:52:019,-0.005046714
14:49:52:028,-0.003887943
14:49:52:036,-0.003550113
14:49:52:043,-0.002673246
14:49:52:051,-0.003274092
14:49:52:060,-0.004118312
14:49:52:068,-0.004073808
14:49:52:077,-0.00431598
14:49:52:086,-0.003988972
14:49:52:094,-0.002716135
14:49:52:102,-0.002936789
14:49:52:110,-0.002632328
14:49:52:117,-0.00170734
14:49:52:125,-0.002500913
14:49:52:134,-0.002643682
14:49:52:141,-0.003761038
14:49:52:150,-0.003909707
14:49:52:159,-0.004767212
14:49:52:166,-0.003563165
14:49:52:174,-0.003459156
14:49:52:182,-0.002408484
14:49:52:191,-0.001542481
14:49:52:198,-0.001799538
14:49:52:206,-0.001872904
14:49:52:214,-0.001884718
14:49:52:221,-0.002327204
14:49:52:231,-0.003566554
14:49:52:242,-0.003894543
14:49:52:251,-0.002908238
14:49:52:260,-0.00316605
14:49:52:269,-0.001795759
14:49:52:276,-0.00128082
14:49:52:285,-3.959408E-05
14:49:52:292,-3.037696E-05
14:49:52:303,0.0005328683
14:49:52:311,0.000619826
14:49:52:320,0.0005863098
14:49:52:329,0.001171863
14:49:52:337,0.0002782578
14:49:52:345,-0.0001888053
14:49:52:353,-0.0008240662
14:49:52:362,-0.0007139623
14:49:52:373,-0.0003298533
14:49:52:380,0.0002521124
14:49:52:388,0.00113308
14:49:52:396,0.002355127
14:49:52:404,0.003365884
14:49:52:413,0.003049788
14:49:52:422,0.00367789
14:49:52:430,0.002879501
14:49:52:437,0.002715503
14:49:52:443,0.001799945
14:49:52:453,0.00157719
14:49:52:461,0.001163431
14:49:52:468,0.0002889704
14:49:52:479,0.0002147866
14:49:52:486,-4.0398E-05
14:49:52:495,-0.001675345
14:49:52:503,-0.002914908
14:49:52:512,-0.006103516
14:49:52:520,-0.007995605
14:49:52:530,-0.01062012
14:49:52:538,-0.01226807
14:49:52:548,-0.01159668
14:49:52:556,-0.01071167
