time,hmd rotation
11:50:55:052,-0.007781982
11:50:55:085,-0.007873535
11:50:55:096,-0.008178711
11:50:55:104,-0.007293701
11:50:55:118,-0.008758545
11:50:55:125,-0.007720947
11:50:55:136,-0.007904053
11:50:55:144,-0.007965088
11:50:55:157,-0.007293701
11:50:55:164,-0.008178711
11:50:55:186,-0.007537842
11:50:55:196,-0.008026123
11:50:55:206,-0.00692749
11:50:55:215,-0.00769043
11:50:55:223,-0.007232666
11:50:55:231,-0.006774902
11:50:55:240,-0.007293701
11:50:55:249,-0.00769043
11:50:55:258,-0.0078125
11:50:55:266,-0.007019043
11:50:55:277,-0.007720947
11:50:55:284,-0.007568359
11:50:55:294,-0.008087158
11:50:55:302,-0.008270264
11:50:55:310,-0.006408691
11:50:55:320,-0.00680542
11:50:55:328,-0.007263184
11:50:55:337,-0.007629395
11:50:55:346,-0.007568359
11:50:55:355,-0.007843018
11:50:55:365,-0.007568359
11:50:55:373,-0.006835938
11:50:55:385,-0.006225586
11:50:55:395,-0.006347656
11:50:55:403,-0.00680542
11:50:55:410,-0.006866455
11:50:55:419,-0.007537842
11:50:55:426,-0.008117676
11:50:55:436,-0.008453369
11:50:55:446,-0.009155273
11:50:55:456,-0.008300781
11:50:55:464,-0.007965088
11:50:55:472,-0.009033203
11:50:55:479,-0.009094238
11:50:55:488,-0.008789063
11:50:55:498,-0.008789063
11:50:55:507,-0.008056641
11:50:55:517,-0.008789063
11:50:55:525,-0.008178711
11:50:55:534,-0.009094238
11:50:55:541,-0.008239746
11:50:55:549,-0.008361816
11:50:55:558,-0.007446289
11:50:55:569,-0.007446289
11:50:55:578,-0.007385254
11:50:55:590,-0.007446289
11:50:55:598,-0.007202148
11:50:55:607,-0.008026123
11:50:55:616,-0.008483887
11:50:55:625,-0.009552002
11:50:55:632,-0.009094238
11:50:55:641,-0.009399414
11:50:55:652,-0.008544922
11:50:55:659,-0.008361816
11:50:55:667,-0.008239746
11:50:55:676,-0.00869751
11:50:55:685,-0.009094238
11:50:55:692,-0.008911133
11:50:55:700,-0.008911133
11:50:55:710,-0.009094238
11:50:55:719,-0.00881958
11:50:55:728,-0.008392334
11:50:55:737,-0.007873535
11:50:55:745,-0.008453369
11:50:55:753,-0.007904053
11:50:55:764,-0.008789063
11:50:55:771,-0.009185791
11:50:55:779,-0.01010132
11:50:55:788,-0.008972168
11:50:55:797,-0.009521484
11:50:55:807,-0.01062012
11:50:55:816,-0.01019287
11:50:55:823,-0.01077271
11:50:55:833,-0.01174927
11:50:55:844,-0.01223755
11:50:55:852,-0.01217651
11:50:55:860,-0.01217651
11:50:55:870,-0.01223755
11:50:55:882,-0.01211548
11:50:55:890,-0.01187134
11:50:55:900,-0.01068115
11:50:55:908,-0.01046753
11:50:55:916,-0.01004028
11:50:55:925,-0.01104736
11:50:55:932,-0.01156616
11:50:55:943,-0.01208496
11:50:55:951,-0.0118103
11:50:55:960,-0.01074219
11:50:55:968,-0.009399414
11:50:55:979,-0.009735107
11:50:55:986,-0.01025391
11:50:55:998,-0.01104736
11:50:56:007,-0.01242065
11:50:56:014,-0.01367188
11:50:56:023,-0.01431274
11:50:56:031,-0.01528931
11:50:56:040,-0.01721191
11:50:56:049,-0.0177002
11:50:56:061,-0.01785278
11:50:56:068,-0.01702881
11:50:56:076,-0.01596069
11:50:56:089,-0.01431274
11:50:56:097,-0.01394653
11:50:56:105,-0.01318359
