time,hmd rotation
15:31:32:589,-0.02166748
15:31:32:597,-0.02407837
15:31:32:605,-0.02407837
15:31:32:611,-0.02407837
15:31:32:618,-0.02304077
15:31:32:625,-0.02304077
15:31:32:632,-0.02304077
15:31:32:639,-0.02255249
15:31:32:647,-0.02255249
15:31:32:656,-0.0223999
15:31:32:663,-0.0223999
15:31:32:671,-0.0223999
15:31:32:679,-0.01766968
15:31:32:686,-0.01766968
15:31:32:692,-0.01766968
15:31:32:700,-0.02005005
15:31:32:706,-0.02005005
15:31:32:712,-0.02005005
15:31:32:719,-0.02020264
15:31:32:726,-0.02020264
15:31:32:732,-0.02020264
15:31:32:739,-0.0178833
15:31:32:745,-0.0178833
15:31:32:753,-0.0178833
15:31:32:760,-0.01821899
15:31:32:766,-0.01821899
15:31:32:772,-0.01821899
15:31:32:780,-0.0173645
15:31:32:786,-0.0173645
15:31:32:794,-0.01727295
15:31:32:803,-0.01727295
15:31:32:811,-0.01727295
15:31:32:821,-0.01599121
15:31:32:828,-0.01599121
15:31:32:838,-0.01773071
15:31:32:846,-0.01773071
15:31:32:853,-0.01611328
15:31:32:861,-0.01611328
15:31:32:868,-0.01611328
15:31:32:875,-0.015625
15:31:32:882,-0.015625
15:31:32:889,-0.015625
15:31:32:896,-0.01599121
15:31:32:903,-0.01599121
15:31:32:911,-0.01599121
15:31:32:920,-0.01504517
15:31:32:927,-0.01504517
15:31:32:934,-0.01889038
15:31:32:941,-0.01889038
15:31:32:947,-0.01889038
15:31:32:956,-0.01760864
15:31:32:963,-0.01760864
15:31:32:970,-0.01760864
15:31:32:977,-0.01596069
15:31:32:984,-0.01596069
15:31:32:991,-0.01596069
15:31:33:000,-0.01641846
15:31:33:008,-0.01641846
15:31:33:017,-0.01751709
15:31:33:026,-0.01751709
15:31:33:033,-0.01751709
15:31:33:043,-0.01727295
15:31:33:051,-0.01727295
15:31:33:064,-0.01889038
15:31:33:073,-0.01889038
15:31:33:082,-0.01651001
15:31:33:090,-0.01651001
15:31:33:098,-0.01635742
15:31:33:107,-0.01635742
15:31:33:115,-0.01818848
15:31:33:124,-0.01818848
15:31:33:131,-0.01818848
15:31:33:141,-0.01831055
15:31:33:151,-0.01831055
15:31:33:163,-0.0173645
15:31:33:170,-0.0173645
15:31:33:183,-0.01446533
15:31:33:190,-0.01446533
15:31:33:197,-0.01223755
15:31:33:204,-0.01223755
15:31:33:211,-0.01223755
15:31:33:219,-0.01016235
15:31:33:228,-0.01016235
15:31:33:236,-0.01428223
15:31:33:244,-0.01428223
15:31:33:251,-0.01428223
15:31:33:258,-0.01821899
15:31:33:265,-0.01821899
15:31:33:274,-0.02130127
15:31:33:282,-0.02130127
15:31:33:288,-0.02130127
15:31:33:295,-0.02420044
15:31:33:303,-0.02420044
15:31:33:309,-0.02420044
15:31:33:315,-0.02975464
15:31:33:323,-0.02975464
15:31:33:329,-0.02975464
15:31:33:336,-0.03601074
15:31:33:343,-0.03601074
15:31:33:351,-0.03601074
15:31:33:357,-0.04507446
15:31:33:366,-0.04507446
15:31:33:374,-0.04507446
15:31:33:382,-0.04891968
15:31:33:389,-0.04891968
15:31:33:395,-0.05548096
15:31:33:403,-0.05548096
15:31:33:410,-0.05548096
15:31:33:416,-0.05834961
15:31:33:423,-0.05834961
15:31:33:430,-0.05834961
15:31:33:436,-0.05923462
15:31:33:443,-0.05923462
15:31:33:449,-0.05923462
15:31:33:458,-0.05828857
15:31:33:467,-0.05828857
15:31:33:473,-0.05828857
15:31:33:480,-0.05810547
15:31:33:487,-0.05810547
15:31:33:494,-0.06207275
15:31:33:501,-0.06207275
15:31:33:507,-0.06207275
15:31:33:513,-0.06271362
15:31:33:521,-0.06271362
15:31:33:527,-0.06271362
15:31:33:533,-0.06271362
15:31:33:540,-0.05917358
15:31:33:546,-0.05917358
15:31:33:552,-0.05917358
15:31:33:559,-0.05899048
15:31:33:568,-0.05899048
15:31:33:574,-0.05618286
15:31:33:581,-0.05618286
15:31:33:588,-0.05618286
15:31:33:594,-0.05670166
15:31:33:601,-0.05670166
15:31:33:607,-0.05670166
15:31:33:614,-0.05679321
15:31:33:621,-0.05679321
15:31:33:628,-0.05679321
15:31:33:634,-0.05810547
15:31:33:641,-0.05810547
15:31:33:648,-0.05810547
15:31:33:654,-0.06149292
15:31:33:665,-0.06149292
15:31:33:672,-0.06149292
15:31:33:678,-0.06271362
15:31:33:687,-0.06271362
15:31:33:693,-0.06271362
15:31:33:700,-0.06008911
15:31:33:709,-0.06008911
15:31:33:715,-0.0574646
15:31:33:722,-0.0574646
15:31:33:729,-0.0574646
15:31:33:737,-0.05700684
15:31:33:746,-0.05700684
15:31:33:753,-0.05700684
15:31:33:762,-0.05938721
15:31:33:769,-0.05938721
15:31:33:776,-0.06149292
15:31:33:782,-0.06149292
15:31:33:789,-0.06149292
15:31:33:795,-0.06466675
15:31:33:801,-0.06466675
15:31:33:810,-0.06466675
15:31:33:818,-0.06356812
15:31:33:828,-0.06356812
15:31:33:834,-0.06466675
15:31:33:841,-0.06466675
15:31:33:847,-0.06466675
15:31:33:932,-0.06576538
15:31:33:939,-0.07180786
15:31:33:946,-0.07180786
15:31:33:952,-0.07180786
15:31:33:959,-0.06671143
15:31:33:969,-0.06671143
15:31:33:976,-0.05099487
15:31:33:983,-0.05099487
15:31:33:991,-0.05099487
15:31:33:997,-0.03189087
15:31:34:004,-0.03189087
15:31:34:013,-0.03189087
15:31:34:023,-0.02102661
15:31:34:033,-0.02102661
15:31:34:040,-0.01855469
15:31:34:048,-0.01855469
15:31:34:055,-0.01419067
15:31:34:066,-0.01419067
15:31:34:073,-0.01419067
15:31:34:080,-0.01794434
15:31:34:086,-0.01794434
15:31:34:093,-0.01794434
15:31:34:100,-0.02267456
15:31:34:106,-0.02267456
15:31:34:113,-0.02267456
15:31:34:120,-0.02700806
15:31:34:127,-0.02700806
15:31:34:134,-0.02700806
15:31:34:140,-0.02682495
15:31:34:146,-0.02682495
15:31:34:156,-0.01370239
15:31:34:163,-0.01370239
15:31:34:172,-0.01370239
15:31:34:180,-0.01361084
15:31:34:189,-0.01361084
15:31:34:196,-0.0279541
15:31:34:203,-0.03155518
15:31:34:213,-0.03674316
15:31:34:222,-0.04040527
15:31:34:238,-0.03964233
15:31:34:246,-0.03814697
15:31:34:254,-0.03421021
15:31:34:262,-0.03170776
15:31:34:273,-0.02603149
15:31:34:280,-0.02047729
15:31:34:287,-0.02377319
15:31:34:295,-0.02493286
15:31:34:302,-0.02856445
15:31:34:310,-0.03244019
15:31:34:320,-0.03427124
15:31:34:327,-0.03619385
15:31:34:335,-0.03826904
15:31:34:343,-0.03546143
15:31:34:351,-0.03588867
15:31:34:359,-0.03768921
15:31:34:367,-0.03274536
15:31:34:376,-0.03396606
15:31:34:384,-0.03204346
15:31:34:393,-0.02581787
15:31:34:401,-0.02536011
15:31:34:408,-0.02484131
15:31:34:415,-0.02774048
15:31:34:422,-0.02520752
15:31:34:430,-0.02340698
15:31:34:436,-0.02560425
15:31:34:443,-0.02908325
15:31:34:451,-0.03121948
15:31:34:460,-0.02972412
15:31:34:467,-0.03152466
15:31:34:478,-0.02529907
15:31:34:486,-0.03018188
15:31:34:494,-0.02923584
15:31:34:502,-0.02868652
15:31:34:511,-0.02627563
15:31:34:519,-0.0267334
15:31:34:527,-0.03076172
15:31:34:537,-0.03189087
15:31:34:544,-0.03463745
15:31:34:552,-0.03240967
